timestamp_ms,collapse_alloc,collapse_alloc_failed,fault_alloc,fault_fallback,split,zero_page_alloc,zero_page_alloc_failed
1438801678717.42,0,0,0.333096847583145,0,0,0,0
1438801681719.46,0,0,0,0,0,0,0
1438801684721.8,0,0,17.9859704161427,0,0.999220578674593,0,0
1438801687724.53,0,0,1.33212111179426,0,0,0,0
1438801690727.02,0,0,0.333056897192833,0,0,0,0
1438801693729.44,0,0,0.666129339679776,0,0,0,0
1438801696732.16,0,0,0.333031388127024,0,0,0,0
1438801699734.62,0,0,0.333060201200562,0,0,0,0
1438801702737.36,0,0,0.666058335555018,0,0,0,0
1438801705739.93,0,0,0.666096083384301,0,0,0,0
1438801708742.45,0,0,0.666107132338867,0,0,0,0
1438801711745.3,0,0,0,0,0,0,0
1438801714747.84,0,0,0.333051345524183,0,0,0,0
1438801717750.54,0,0,0,0,0,0,0
