Linux 3.10.0-230.el7.x86_64 (perf10.perf.lab.eng.bos.redhat.com) 	08/05/15 	_x86_64_	(40 CPU)

15:07:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:01      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:08:01      22    0.00    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   96.99
15:08:01      23    0.00    0.00    0.67    0.00    0.00    0.00    0.00   16.72    0.00   82.61
15:08:01      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:08:01      25    7.36    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   91.64
15:08:01      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:08:01      27    0.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   98.33
15:08:01      28    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:08:01      29    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:08:01      30    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
15:08:01      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:08:01      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:08:01      33    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:08:01      34    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
15:08:01      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99    0.00   99.01
15:08:01      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.33    0.00   99.67
15:08:01      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.37    0.00   87.63
15:08:01      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.33    0.00   99.67
15:08:01      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.77    0.00   84.23

15:08:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:04     all    1.01    0.00    0.29    0.01    0.00    0.01    0.00    5.55    0.00   93.13
15:08:04       0    1.00    0.00    0.00    0.00    0.00    0.00    0.00   11.67    0.00   87.33
15:08:04       1    0.67    0.00    0.00    0.00    0.00    0.00    0.00    4.36    0.00   94.97
15:08:04       2    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.67    0.00   98.67
15:08:04       3    1.33    0.00    0.00    0.00    0.00    0.00    0.00   20.33    0.00   78.33
15:08:04       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:08:04       5    1.33    0.00    0.33    0.00    0.00    0.00    0.00   16.33    0.00   82.00
15:08:04       6    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:08:04       7    1.01    0.00    0.34    0.00    0.00    0.00    0.00    3.36    0.00   95.30
15:08:04       8    1.68    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.32
15:08:04       9    2.32    0.00    0.66    0.00    0.00    0.00    0.00   17.88    0.00   79.14
15:08:04      10    0.67    0.00    0.00    0.34    0.00    0.00    0.00    2.68    0.00   96.31
15:08:04      11    1.34    0.00    0.33    0.00    0.00    0.00    0.00   18.73    0.00   79.60
15:08:04      12    0.67    0.00    0.33    0.00    0.00    0.00    0.00    1.33    0.00   97.67
15:08:04      13    1.00    0.00    0.33    0.00    0.00    0.00    0.00   18.00    0.00   80.67
15:08:04      14    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:08:04      15    1.00    0.00    0.33    0.00    0.00    0.00    0.00   19.73    0.00   78.93
