timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,98.67,0.00,0.00,0.00,0.00,0.00,0.33,1.00
1438801681000,0.00,16.72,82.61,0.00,0.00,0.00,0.00,0.00,0.67,0.00
1438801684000,0.00,0.33,93.98,0.00,0.00,0.00,0.00,0.00,0.33,5.35
1438801687000,0.00,2.03,92.88,0.00,0.00,0.00,0.00,0.00,3.05,2.03
1438801690000,0.00,2.03,92.20,0.00,0.00,0.00,0.00,0.00,3.73,2.03
1438801693000,0.00,1.68,91.92,0.00,0.00,0.00,0.00,0.00,4.38,2.02
1438801696000,0.00,1.35,91.89,0.00,0.00,0.00,0.00,0.00,3.72,3.04
1438801699000,0.00,2.41,90.34,0.00,0.00,0.00,0.00,0.00,4.83,2.41
1438801702000,0.00,2.36,89.53,0.00,0.00,0.00,0.34,0.00,5.41,2.36
1438801705000,0.00,2.36,91.55,0.00,0.00,0.00,0.00,0.00,3.72,2.36
1438801708000,0.00,1.70,91.50,0.00,0.00,0.00,0.00,0.00,4.42,2.38
1438801711000,0.00,1.02,92.18,0.00,0.00,0.00,0.00,0.00,4.42,2.38
1438801714000,0.00,1.68,90.57,0.00,0.00,0.00,0.34,0.00,4.71,2.69
1438801717000,0.00,2.03,91.55,0.00,0.00,0.00,0.00,0.00,4.39,2.03
