timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,99.66,0.00,0.00,0.00,0.00,0.00,0.00,0.34
1438801681000,0.00,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1438801684000,0.00,2.33,96.33,0.00,0.00,0.00,0.00,0.00,0.00,1.33
1438801687000,0.00,1.36,93.22,0.00,0.00,0.00,0.00,0.00,3.73,1.69
1438801690000,0.00,2.04,92.18,0.00,0.00,0.00,0.00,0.00,4.08,1.70
1438801693000,0.00,1.68,91.92,0.00,0.00,0.00,0.00,0.00,4.04,2.36
1438801696000,0.00,1.69,92.20,0.00,0.00,0.00,0.34,0.00,3.73,2.03
1438801699000,0.00,1.69,89.83,0.00,0.00,0.00,0.00,0.00,5.42,3.05
1438801702000,0.00,2.72,89.80,0.00,0.00,0.00,0.00,0.00,5.10,2.38
1438801705000,0.00,1.69,91.22,0.00,0.00,0.00,0.34,0.00,4.39,2.36
1438801708000,0.00,2.36,90.24,0.00,0.00,0.00,0.00,0.00,4.71,2.69
1438801711000,0.00,1.02,91.50,0.00,0.00,0.00,0.00,0.00,4.42,3.06
1438801714000,0.00,1.35,91.25,0.00,0.00,0.00,0.00,0.00,5.05,2.36
1438801717000,0.00,1.36,90.85,0.00,0.00,0.00,0.00,0.00,5.08,2.71
