timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.00,0.33,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,0.00,0.00,98.67,0.00,0.00,0.00,0.00,0.00,0.33,1.00
1438801687000,0.00,3.38,94.93,0.00,0.00,0.00,0.00,0.00,1.69,0.00
1438801690000,0.00,0.67,97.65,0.00,0.00,0.00,0.00,0.00,1.68,0.00
1438801693000,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33
1438801696000,0.00,4.36,94.30,0.00,0.00,0.00,0.00,0.00,1.34,0.00
1438801699000,0.00,3.36,95.30,0.00,0.00,0.00,0.00,0.00,1.01,0.34
1438801702000,0.00,3.69,94.63,0.00,0.00,0.00,0.00,0.00,1.68,0.00
1438801705000,0.00,3.33,94.67,0.00,0.00,0.00,0.00,0.00,2.00,0.00
1438801708000,0.00,1.66,96.68,0.00,0.00,0.00,0.00,0.00,1.33,0.33
1438801711000,0.00,1.01,98.32,0.00,0.00,0.00,0.00,0.00,0.67,0.00
1438801714000,0.00,0.67,97.67,0.00,0.00,0.00,0.00,0.00,1.00,0.67
1438801717000,0.00,0.34,98.99,0.00,0.00,0.00,0.00,0.00,0.67,0.00
