timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1438801681000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1438801687000,0.00,5.46,79.52,0.00,0.00,0.00,0.00,0.00,10.58,4.44
1438801690000,0.00,4.50,80.62,0.00,0.00,0.00,0.00,0.00,10.03,4.84
1438801693000,0.00,4.83,81.72,0.00,0.00,0.00,0.00,0.00,8.97,4.48
1438801696000,0.00,4.51,84.38,0.00,0.00,0.00,0.00,0.00,8.33,2.78
1438801699000,0.00,4.04,85.52,0.00,0.00,0.00,0.00,0.00,7.41,3.03
1438801702000,0.00,4.38,84.18,0.00,0.00,0.00,0.00,0.00,8.75,2.69
1438801705000,0.00,3.77,80.14,0.00,0.00,0.00,0.34,0.00,10.62,5.14
1438801708000,0.00,3.42,83.90,0.00,0.00,0.00,0.00,0.00,8.90,3.77
1438801711000,0.00,4.81,82.13,0.00,0.00,0.00,0.00,0.00,9.28,3.78
1438801714000,0.00,5.10,82.31,0.00,0.00,0.00,0.00,0.00,8.84,3.74
1438801717000,0.00,4.15,81.66,0.00,0.00,0.00,0.00,0.00,10.03,4.15
