timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,15.72,84.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.00,0.33,91.33,0.00,0.00,0.00,0.00,0.00,1.00,7.33
1438801684000,0.00,18.73,79.60,0.00,0.00,0.00,0.00,0.00,0.33,1.34
1438801687000,0.00,8.45,60.21,0.00,0.00,0.00,1.41,0.00,19.37,10.56
1438801690000,0.00,8.83,59.36,0.00,0.00,0.00,2.12,0.00,20.14,9.54
1438801693000,0.00,10.00,58.93,0.00,0.00,0.00,1.07,0.00,20.36,9.64
1438801696000,0.00,9.66,57.24,0.00,0.00,0.00,1.38,0.00,20.69,11.03
1438801699000,0.00,10.18,54.39,0.00,0.00,0.00,1.75,0.00,23.16,10.53
1438801702000,0.00,10.28,55.32,0.00,0.00,0.00,1.77,0.00,21.99,10.64
1438801705000,0.00,9.29,60.36,0.00,0.00,0.00,1.43,0.00,20.00,8.93
1438801708000,0.00,9.86,57.75,0.00,0.00,0.00,1.76,0.00,20.07,10.56
1438801711000,0.00,8.96,58.78,0.00,0.00,0.00,1.43,0.00,21.15,9.68
1438801714000,0.00,9.12,57.89,0.00,0.00,0.00,1.75,0.00,20.70,10.53
1438801717000,0.00,10.14,57.34,0.00,0.00,0.00,1.40,0.00,20.63,10.49
