timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.00,12.33,87.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67
1438801687000,0.00,7.85,82.25,0.00,0.00,0.00,0.00,0.00,8.53,1.37
1438801690000,0.00,6.80,83.33,0.00,0.00,0.00,0.00,0.00,8.84,1.02
1438801693000,0.00,8.22,82.88,0.00,0.00,0.00,0.00,0.00,7.88,1.03
1438801696000,0.00,5.52,85.86,0.00,0.00,0.00,0.00,0.00,7.93,0.69
1438801699000,0.00,5.15,88.66,0.00,0.00,0.00,0.00,0.00,5.84,0.34
1438801702000,0.00,5.78,86.73,0.00,0.00,0.00,0.00,0.00,6.46,1.02
1438801705000,0.00,6.21,84.14,0.00,0.00,0.00,0.00,0.00,8.28,1.38
1438801708000,0.00,5.14,86.64,0.00,0.00,0.00,0.00,0.00,7.19,1.03
1438801711000,0.00,7.82,83.67,0.00,0.00,0.00,0.00,0.00,7.48,1.02
1438801714000,0.00,5.80,84.64,0.00,0.00,0.00,0.00,0.00,8.19,1.37
1438801717000,0.00,6.46,84.01,0.00,0.00,0.00,0.00,0.00,8.50,1.02
