timestamp_ms,context_switches_sec,processes_created_sec
1438801678000,11130.67,55.67
1438801681000,11631.67,43.33
1438801684000,14554.67,45.00
1438801687000,811262.67,66.67
1438801690000,793218.00,5.33
1438801693000,788163.00,11.33
1438801696000,778125.00,3.67
1438801699000,788021.00,3.67
1438801702000,794703.67,4.67
1438801705000,804922.67,6.00
1438801708000,797030.00,7.67
1438801711000,784963.33,9.67
1438801714000,793087.00,4.33
1438801717000,805509.67,3.00
