timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,99.33,0.00,0.00,0.00,0.00,0.00,0.33,0.33
1438801681000,0.00,20.40,79.26,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1438801684000,0.00,19.80,78.86,0.00,0.00,0.00,0.00,0.00,0.34,1.01
1438801687000,0.00,7.99,59.38,0.00,0.00,0.00,1.74,0.00,21.18,9.72
1438801690000,0.00,7.96,58.82,0.00,0.00,0.00,2.42,0.00,19.72,11.07
1438801693000,0.00,8.83,59.01,0.00,0.00,0.00,1.06,0.00,20.49,10.60
1438801696000,0.00,8.04,58.04,0.00,0.00,0.00,1.75,0.00,20.98,11.19
1438801699000,0.00,10.00,55.36,0.00,0.00,0.00,1.79,0.00,21.79,11.07
1438801702000,0.00,10.84,54.55,0.00,0.00,0.00,2.10,0.00,21.68,10.84
1438801705000,0.00,9.64,60.71,0.00,0.00,0.00,1.43,0.00,18.57,9.64
1438801708000,0.00,8.83,57.95,0.00,0.00,0.00,1.77,0.00,20.14,11.31
1438801711000,0.00,8.90,59.43,0.00,0.00,0.00,2.14,0.00,20.64,8.90
1438801714000,0.00,9.72,56.60,0.00,0.00,0.00,1.39,0.00,21.53,10.76
1438801717000,0.00,9.82,57.54,0.00,0.00,0.00,1.40,0.00,21.05,10.18
