timestamp_ms,all_interrupts
1438801678000,6362.00
1438801681000,7597.67
1438801684000,12199.00
1438801687000,189975.00
1438801690000,180920.33
1438801693000,196067.33
1438801696000,189874.33
1438801699000,176786.67
1438801702000,191337.67
1438801705000,192291.00
1438801708000,177211.00
1438801711000,184919.00
1438801714000,190185.33
1438801717000,186791.00
