timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,17.00,82.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1438801681000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,0.00,1.33,97.67,0.00,0.00,0.00,0.00,0.00,0.33,0.67
1438801687000,0.00,4.14,76.55,0.00,0.00,0.00,0.00,0.00,12.41,6.90
1438801690000,0.00,4.05,76.35,0.00,0.00,0.00,0.00,0.00,12.50,7.09
1438801693000,0.00,3.46,78.55,0.00,0.00,0.00,0.00,0.00,10.73,7.27
1438801696000,0.00,3.78,79.73,0.00,0.00,0.00,0.00,0.00,9.97,6.53
1438801699000,0.00,3.05,83.05,0.00,0.00,0.00,0.00,0.00,8.81,5.08
1438801702000,0.00,3.07,82.59,0.00,0.00,0.00,0.00,0.00,9.22,5.12
1438801705000,0.00,2.73,76.45,0.00,0.00,0.00,0.00,0.00,12.97,7.85
1438801708000,0.00,3.79,81.03,0.00,0.00,0.00,0.00,0.00,9.31,5.86
1438801711000,0.00,3.74,77.55,0.00,0.00,0.00,0.00,0.00,11.56,7.14
1438801714000,0.00,2.75,80.41,0.00,0.00,0.00,0.00,0.00,10.31,6.53
1438801717000,0.00,3.75,77.47,0.00,0.00,0.00,0.00,0.00,11.26,7.51
