timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,19.40,79.93,0.00,0.00,0.00,0.00,0.00,0.00,0.67
1438801681000,0.00,0.67,99.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,0.00,18.00,80.67,0.00,0.00,0.00,0.00,0.00,0.33,1.00
1438801687000,0.00,7.53,61.65,0.00,0.00,0.00,1.08,0.00,19.71,10.04
1438801690000,0.00,8.99,60.43,0.00,0.00,0.00,1.44,0.00,18.35,10.79
1438801693000,0.00,9.54,58.66,0.00,0.00,0.00,1.77,0.00,20.14,9.89
1438801696000,0.00,9.03,59.93,0.00,0.00,0.00,1.08,0.00,20.22,9.75
1438801699000,0.00,10.49,54.20,0.00,0.00,0.00,2.10,0.00,23.08,10.14
1438801702000,0.00,9.09,54.55,0.00,0.00,0.00,1.40,0.00,23.08,11.89
1438801705000,0.00,9.12,59.65,0.00,0.00,0.00,1.40,0.00,21.05,8.77
1438801708000,0.00,8.80,58.10,0.00,0.00,0.00,1.41,0.00,21.48,10.21
1438801711000,0.00,9.64,58.93,0.00,0.00,0.00,1.43,0.00,20.00,10.00
1438801714000,0.00,9.82,57.89,0.00,0.00,0.00,1.40,0.00,20.35,10.53
1438801717000,0.00,9.82,57.89,0.00,0.00,0.00,1.40,0.00,20.70,10.18
