timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.00,5.02,94.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,0.00,4.33,94.67,0.00,0.00,0.00,0.00,0.00,0.33,0.67
1438801687000,0.00,6.16,81.51,0.00,0.00,0.00,0.00,0.00,9.59,2.74
1438801690000,0.00,5.86,83.10,0.00,0.00,0.00,0.00,0.00,8.62,2.41
1438801693000,0.00,6.48,83.28,0.00,0.00,0.00,0.00,0.00,8.53,1.71
1438801696000,0.00,5.50,85.22,0.00,0.00,0.00,0.00,0.00,7.90,1.37
1438801699000,0.00,4.41,86.78,0.00,0.00,0.00,0.00,0.00,7.46,1.36
1438801702000,0.00,4.78,87.03,0.00,0.00,0.00,0.00,0.00,6.48,1.71
1438801705000,0.00,4.48,83.79,0.00,0.00,0.00,0.00,0.00,9.31,2.41
1438801708000,0.00,5.44,85.37,0.00,0.00,0.00,0.00,0.00,7.48,1.70
1438801711000,0.00,5.50,84.54,0.00,0.00,0.00,0.00,0.00,7.56,2.41
1438801714000,0.00,4.78,84.64,0.34,0.00,0.00,0.34,0.00,8.19,1.71
1438801717000,0.00,4.51,85.07,0.00,0.00,0.00,0.00,0.00,8.33,2.08
