timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,15.67,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1438801681000,0.00,0.67,99.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,0.00,2.34,96.99,0.00,0.00,0.00,0.00,0.00,0.00,0.67
1438801687000,0.00,5.82,81.16,0.00,0.00,0.00,0.00,0.00,9.93,3.08
1438801690000,0.00,5.48,81.85,0.00,0.00,0.00,0.00,0.00,9.59,3.08
1438801693000,0.00,5.50,83.16,0.00,0.00,0.00,0.00,0.00,8.59,2.75
1438801696000,0.00,5.88,85.12,0.00,0.00,0.00,0.00,0.00,7.27,1.73
1438801699000,0.00,4.41,87.12,0.00,0.00,0.00,0.00,0.00,6.10,2.37
1438801702000,0.00,5.15,86.94,0.00,0.00,0.00,0.00,0.00,6.87,1.03
1438801705000,0.00,4.14,83.10,0.00,0.00,0.00,0.34,0.00,8.97,3.45
1438801708000,0.00,4.47,85.91,0.00,0.00,0.00,0.00,0.00,7.56,2.06
1438801711000,0.00,4.76,82.99,0.00,0.00,0.00,0.00,0.00,9.18,3.06
1438801714000,0.00,5.48,83.56,0.00,0.00,0.00,0.00,0.00,8.56,2.40
1438801717000,0.00,6.78,81.02,0.00,0.00,0.00,0.00,0.00,8.81,3.39
