timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,16.72,83.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.00,0.67,98.33,0.00,0.00,0.00,0.00,0.00,0.33,0.67
1438801684000,0.00,4.38,95.29,0.00,0.00,0.00,0.00,0.00,0.00,0.34
1438801687000,0.00,7.77,60.42,0.00,0.00,0.00,1.41,0.00,19.43,10.95
1438801690000,0.00,8.54,60.14,0.00,0.00,0.00,1.42,0.00,19.93,9.96
1438801693000,0.00,9.54,59.36,0.00,0.00,0.00,1.41,0.00,19.43,10.25
1438801696000,0.00,8.21,59.29,0.00,0.00,0.00,1.79,0.00,20.36,10.36
1438801699000,0.00,8.87,54.96,0.00,0.00,0.00,1.77,0.00,23.05,11.35
1438801702000,0.00,8.90,55.87,0.00,0.00,0.00,1.78,0.00,22.42,11.03
1438801705000,0.00,9.54,59.36,0.00,0.00,0.00,1.77,0.00,19.79,9.54
1438801708000,0.00,8.87,58.16,0.00,0.00,0.00,1.06,0.00,21.63,10.28
1438801711000,0.00,10.39,58.78,0.00,0.00,0.00,1.08,0.00,19.71,10.04
1438801714000,0.00,10.14,57.34,0.00,0.00,0.00,1.40,0.00,20.98,10.14
1438801717000,0.00,9.79,57.34,0.00,0.00,0.00,1.75,0.00,20.28,10.84
