timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1438801678000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.00,0.33,99.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1438801684000,0.00,34.45,64.55,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1438801687000,0.00,8.10,60.21,0.00,0.00,0.00,1.41,0.00,20.42,9.86
1438801690000,0.00,8.21,60.36,0.00,0.00,0.00,1.79,0.00,19.64,10.00
1438801693000,0.00,9.15,59.15,0.00,0.00,0.00,1.41,0.00,20.07,10.21
1438801696000,0.00,8.74,58.04,0.00,0.00,0.00,1.40,0.00,19.93,11.89
1438801699000,0.00,9.89,54.42,0.00,0.00,0.00,1.41,0.00,21.91,12.37
1438801702000,0.00,10.04,55.91,0.00,0.00,0.00,2.15,0.00,20.79,11.11
1438801705000,0.00,9.38,58.33,0.00,0.00,0.00,1.39,0.00,20.83,10.07
1438801708000,0.00,9.29,58.93,0.00,0.00,0.00,1.43,0.00,20.71,9.64
1438801711000,0.00,10.56,57.39,0.00,0.00,0.00,1.41,0.00,20.77,9.86
1438801714000,0.00,9.19,58.30,0.00,0.00,0.00,1.77,0.00,19.79,10.95
1438801717000,0.00,8.87,58.87,0.00,0.00,0.00,1.42,0.00,20.21,10.64
