timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,0.33,99.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1438801681000,16.72,82.61,0.00,0.00,0.00,0.00,0.00,0.00,0.67
1438801684000,3.36,95.30,0.00,0.00,0.00,0.00,0.00,0.34,1.01
1438801687000,7.77,60.78,0.00,0.00,0.00,1.41,0.00,19.08,10.95
1438801690000,9.19,60.07,0.00,0.00,0.00,1.41,0.00,19.43,9.89
1438801693000,8.74,59.09,0.00,0.00,0.00,1.75,0.00,19.93,10.49
1438801696000,8.13,59.36,0.00,0.00,0.00,1.41,0.00,20.49,10.60
1438801699000,9.89,55.48,0.00,0.00,0.00,1.77,0.00,21.20,11.66
1438801702000,10.25,55.48,0.00,0.00,0.00,1.41,0.00,21.91,10.95
1438801705000,9.47,60.35,0.00,0.00,0.00,1.40,0.00,19.65,9.12
1438801708000,9.25,58.72,0.00,0.00,0.00,1.78,0.00,20.28,9.96
1438801711000,8.90,59.79,0.00,0.00,0.00,1.42,0.00,20.28,9.61
1438801714000,9.25,59.07,0.00,0.00,0.00,1.42,0.00,21.35,8.90
1438801717000,9.19,58.66,0.00,0.00,0.00,1.77,0.00,20.49,9.89
