timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,15.72,84.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.33,91.33,0.00,0.00,0.00,0.00,0.00,1.00,7.33
1438801684000,18.73,79.60,0.00,0.00,0.00,0.00,0.00,0.33,1.34
1438801687000,8.83,60.07,0.00,0.00,0.00,1.41,0.00,19.43,10.25
1438801690000,8.45,59.51,0.00,0.00,0.00,2.11,0.00,20.07,9.86
1438801693000,9.93,58.51,0.00,0.00,0.00,1.06,0.00,20.57,9.93
1438801696000,9.69,57.44,0.00,0.00,0.00,1.38,0.00,20.76,10.73
1438801699000,10.21,54.23,0.00,0.00,0.00,1.76,0.00,22.89,10.92
1438801702000,10.28,55.67,0.00,0.00,0.00,1.77,0.00,21.99,10.28
1438801705000,9.29,60.36,0.00,0.00,0.00,1.43,0.00,20.00,8.93
1438801708000,9.86,57.75,0.00,0.00,0.00,1.76,0.00,20.07,10.56
1438801711000,8.96,58.78,0.00,0.00,0.00,1.43,0.00,21.15,9.68
1438801714000,9.12,57.89,0.00,0.00,0.00,1.75,0.00,20.70,10.53
1438801717000,10.10,57.14,0.00,0.00,0.00,1.39,0.00,20.91,10.45
