timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1438801681000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1438801687000,5.48,79.45,0.00,0.00,0.00,0.00,0.00,10.62,4.45
1438801690000,4.50,80.62,0.00,0.00,0.00,0.00,0.00,10.03,4.84
1438801693000,4.81,81.79,0.00,0.00,0.00,0.00,0.00,8.93,4.47
1438801696000,4.50,84.08,0.00,0.00,0.00,0.00,0.00,8.30,3.11
1438801699000,4.07,85.76,0.00,0.00,0.00,0.00,0.00,7.46,2.71
1438801702000,4.38,84.18,0.00,0.00,0.00,0.00,0.00,8.75,2.69
1438801705000,3.77,80.14,0.00,0.00,0.00,0.34,0.00,10.62,5.14
1438801708000,3.42,83.90,0.00,0.00,0.00,0.00,0.00,8.90,3.77
1438801711000,4.81,82.13,0.00,0.00,0.00,0.00,0.00,9.28,3.78
1438801714000,5.10,82.31,0.00,0.00,0.00,0.00,0.00,8.84,3.74
1438801717000,4.12,81.10,0.00,0.00,0.00,0.00,0.00,10.31,4.47
