timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,0.00,99.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1438801681000,0.00,98.33,0.00,0.00,0.00,0.00,0.00,1.33,0.33
1438801684000,2.34,93.31,0.00,0.00,0.00,0.33,0.00,3.01,1.00
1438801687000,1.01,91.22,0.00,0.00,0.00,0.34,0.00,4.73,2.70
1438801690000,1.70,91.50,0.00,0.00,0.00,0.00,0.00,4.76,2.04
1438801693000,1.01,91.58,0.00,0.00,0.00,0.00,0.00,5.05,2.36
1438801696000,1.36,91.19,0.00,0.00,0.00,0.00,0.00,4.41,3.05
1438801699000,2.03,88.47,0.00,0.00,0.00,0.00,0.00,5.76,3.73
1438801702000,2.73,88.40,0.00,0.00,0.00,0.34,0.00,5.46,3.07
1438801705000,1.67,90.64,0.00,0.00,0.00,0.00,0.00,5.35,2.34
1438801708000,1.71,89.76,0.00,0.00,0.00,0.00,0.00,5.46,3.07
1438801711000,2.03,90.20,0.00,0.00,0.00,0.00,0.00,5.41,2.36
1438801714000,2.37,90.51,0.00,0.00,0.00,0.00,0.00,4.41,2.71
1438801717000,2.70,90.20,0.00,0.00,0.00,0.00,0.00,5.07,2.03
