timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801681000,0.33,99.34,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1438801684000,3.34,95.32,0.00,0.00,0.00,0.00,0.00,0.33,1.00
1438801687000,6.64,59.44,0.00,0.00,0.00,1.75,0.00,21.33,10.84
1438801690000,10.60,58.66,0.00,0.00,0.00,1.41,0.00,19.08,10.25
1438801693000,8.99,60.43,0.00,0.00,0.00,1.44,0.00,19.42,9.71
1438801696000,8.87,58.87,0.00,0.00,0.00,1.42,0.00,20.21,10.64
1438801699000,9.47,54.39,0.00,0.00,0.00,2.11,0.00,22.81,11.23
1438801702000,10.00,55.71,0.00,0.00,0.00,1.43,0.00,21.79,11.07
1438801705000,9.61,60.50,0.00,0.00,0.00,1.07,0.00,19.22,9.61
1438801708000,9.00,56.40,0.00,0.00,0.00,2.08,0.00,21.80,10.73
1438801711000,10.56,58.45,0.00,0.00,0.00,1.06,0.00,20.77,9.15
1438801714000,9.22,58.87,0.00,0.00,0.00,2.48,0.00,20.21,9.22
1438801717000,9.54,58.30,0.00,0.00,0.00,1.41,0.00,21.20,9.54
