timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.33,0.66
1438801681000,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1438801684000,0.00,98.32,0.00,0.00,0.00,0.00,0.00,0.00,1.68
1438801687000,1.13,32.71,0.00,0.00,0.00,13.91,0.00,25.94,26.32
1438801690000,0.37,32.34,0.00,0.00,0.00,13.75,0.00,25.28,28.25
1438801693000,0.75,30.60,0.00,0.37,0.00,13.81,0.00,25.00,29.48
1438801696000,1.15,35.00,0.00,0.00,0.00,12.31,0.00,24.23,27.31
1438801699000,0.38,40.23,0.00,0.00,0.00,9.77,0.00,24.44,25.19
1438801702000,0.75,38.35,0.00,0.00,0.00,10.15,0.00,24.06,26.69
1438801705000,1.13,29.43,0.00,0.00,0.00,14.72,0.00,27.17,27.55
1438801708000,0.75,34.70,0.00,0.00,0.00,11.57,0.00,25.37,27.61
1438801711000,0.38,32.95,0.00,0.00,0.00,13.64,0.00,24.62,28.41
1438801714000,0.75,34.34,0.00,0.38,0.00,12.83,0.00,25.28,26.42
1438801717000,0.74,31.60,0.00,0.00,0.00,14.50,0.00,26.39,26.77
