timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,16.34,83.01,0.00,0.00,0.00,0.00,0.00,0.65,0.00
1438801681000,0.99,99.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438801684000,2.66,96.01,0.00,0.00,0.00,0.00,0.00,0.33,1.00
1438801687000,1.35,92.91,0.00,0.00,0.00,0.00,0.00,3.72,2.03
1438801690000,2.35,90.60,0.00,0.00,0.00,0.34,0.00,4.36,2.35
1438801693000,1.70,93.88,0.00,0.00,0.00,0.00,0.00,2.72,1.70
1438801696000,1.68,91.58,0.00,0.00,0.00,0.00,0.00,4.38,2.36
1438801699000,2.02,88.55,0.00,0.00,0.00,0.34,0.00,5.72,3.37
1438801702000,2.03,89.83,0.00,0.00,0.00,0.00,0.00,5.08,3.05
1438801705000,2.02,91.92,0.00,0.00,0.00,0.00,0.00,4.04,2.02
1438801708000,2.36,90.20,0.00,0.00,0.00,0.00,0.00,4.73,2.70
1438801711000,1.68,91.25,0.00,0.00,0.00,0.00,0.00,4.71,2.36
1438801714000,1.02,91.81,0.00,0.00,0.00,0.00,0.00,4.44,2.73
1438801717000,1.71,91.47,0.00,0.00,0.00,0.34,0.00,4.10,2.39
