timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1438801678000,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1438801681000,20.47,79.19,0.00,0.00,0.00,0.00,0.00,0.00,0.34
1438801684000,19.73,78.93,0.00,0.00,0.00,0.00,0.00,0.33,1.00
1438801687000,7.99,59.03,0.00,0.00,0.00,1.74,0.00,21.18,10.07
1438801690000,7.99,58.68,0.00,0.00,0.00,2.43,0.00,20.14,10.76
1438801693000,8.80,59.15,0.00,0.00,0.00,1.06,0.00,20.07,10.92
1438801696000,8.39,58.04,0.00,0.00,0.00,1.75,0.00,20.98,10.84
1438801699000,9.64,55.36,0.00,0.00,0.00,1.79,0.00,21.79,11.43
1438801702000,10.88,54.74,0.00,0.00,0.00,2.11,0.00,21.75,10.53
1438801705000,9.64,60.71,0.00,0.00,0.00,1.43,0.00,18.57,9.64
1438801708000,8.80,57.75,0.00,0.00,0.00,1.76,0.00,20.42,11.27
1438801711000,8.93,59.29,0.00,0.00,0.00,2.14,0.00,20.71,8.93
1438801714000,9.72,56.94,0.00,0.00,0.00,1.39,0.00,21.18,10.76
1438801717000,9.82,57.19,0.00,0.00,0.00,1.40,0.00,21.05,10.53
