timestamp_ms,CPU_000,CPU_001,CPU_002,CPU_003,CPU_004,CPU_005,CPU_006,CPU_007,CPU_008,CPU_009,CPU_010,CPU_011,CPU_012,CPU_013,CPU_014,CPU_015,CPU_016,CPU_017,CPU_018,CPU_019,CPU_020,CPU_021,CPU_022,CPU_023,CPU_024,CPU_025,CPU_026,CPU_027,CPU_028,CPU_029,CPU_030,CPU_031,CPU_032,CPU_033,CPU_034,CPU_035,CPU_036,CPU_037,CPU_038,CPU_039
1438801678723.35,0,0,0.333075747165908,0,1.66537873582954,0.333075747165908,0,7.32766643764998,0,0.333075747165908,0.666151494331817,0,1.66537873582954,0.999227241497725,0.333075747165908,1.66537873582954,0,0.333075747165908,1.33230298866363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801681725.67,0,1.33230309700295,0,12.9899551957788,0,0,0.333075774250738,0,0.333075774250738,0,0,0.333075774250738,0.999227322752214,1.33230309700295,0.333075774250738,0,0.333075774250738,0,0.666151548501476,18.6522433580413,0,0,0.333075774250738,0,0,0,0,0,0,0,0,0,0,3.99690929100886,0,0,0,0,0,0
1438801684728.16,0,0,0.333056897192833,0,0,0,0.999170691578499,1.998341383157,0,0,0.999170691578499,0,0.333056897192833,0.333056897192833,0,0.333056897192833,0.666113794385666,2.33139828034983,0,0,0,0,0,0,0,0,0.666113794385666,0,0,0,0,2.33139828034983,0,0,0.666113794385666,0.666113794385666,0,0.666113794385666,0,0
1438801687731.02,0,0,0,0,0,0.66603169260426,0,0,0,0,0.999047538906389,0,0,0.999047538906389,0.33301584630213,0.33301584630213,0,0.33301584630213,0,0,0,0,0,0,0,0,0.33301584630213,0,0,0,0,0,0,0,0.33301584630213,0,0,0,0,0.66603169260426
1438801690733.73,0.333032498312885,0,0,0,0,0,0,0,0,0.333032498312885,0.333032498312885,0,0.333032498312885,0.333032498312885,0,0.666064996625769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666064996625769,0.999097494938654,0,0,0,0,0
1438801693736.35,0.999127389717899,0.3330424632393,0.3330424632393,0.6660849264786,0,0.3330424632393,0.3330424632393,0.3330424632393,0,0,0.3330424632393,0.6660849264786,0.3330424632393,0.3330424632393,0,0,0,0,0.3330424632393,0.3330424632393,0,0.3330424632393,0,0,0,0,0,0,0,0,0.6660849264786,0,0.6660849264786,0,0.6660849264786,0,0,0,0,0
1438801696739.39,0.665991840461785,0,0.332995920230892,0,0,0.665991840461785,0,0,0,0,0.665991840461785,0,0,0,0,0,0,0,0,0,0,0,0,0.332995920230892,0,0,0,0,0.332995920230892,0.332995920230892,0,0,0,0,0,0,0,0,0,0.665991840461785
1438801699742.3,0.66602059200385,0.333010296001925,0.66602059200385,0,0.333010296001925,0.66602059200385,0,0,0.333010296001925,0,1.99806177601155,0,1.99806177601155,0,0.66602059200385,0,1.66505148000963,0.333010296001925,0.333010296001925,0.333010296001925,0,0,0,0,0.333010296001925,0,0,0.66602059200385,0,0,0,0,0.333010296001925,0,0.333010296001925,0,0,0,0,0
1438801702745.21,0,0.999030969228334,0.333010323076111,0,0,1.33204129230445,0.666020646152223,0.666020646152223,0.333010323076111,0.666020646152223,1.33204129230445,0.333010323076111,0.666020646152223,0,0,0.333010323076111,0,1.33204129230445,0.333010323076111,0.333010323076111,0.333010323076111,0,0,0.666020646152223,0,0.333010323076111,0,0,0.333010323076111,0.666020646152223,0,0.333010323076111,0,0,0,0,0,0,0.333010323076111,0
1438801705747.93,0,0.666062776254049,0.333031388127024,1.3321255525081,0,0.666062776254049,0,1.3321255525081,0,0.333031388127024,0.333031388127024,0.333031388127024,0.333031388127024,0,0,0.666062776254049,1.3321255525081,0.666062776254049,1.3321255525081,0.333031388127024,0.333031388127024,0,0,0,0,0,0.333031388127024,0,0,0.666062776254049,0.333031388127024,0.333031388127024,0,0.999094164381073,0,0,0.333031388127024,0,0.333031388127024,0
1438801708750.37,0,0.333062421963905,0,0,0,0.333062421963905,0,0,0.333062421963905,0,0.999187265891716,0.666124843927811,0,0.333062421963905,0,0.666124843927811,0.333062421963905,0,0.333062421963905,0,0,0,0.333062421963905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333062421963905,0
1438801711752.96,0,0,0,0.333045821120569,0,0,0.333045821120569,1.33218328448228,0,0,0.666091642241138,0.333045821120569,0.666091642241138,0.999137463361707,0,0,0.666091642241138,0,0,0,0,0,0,0,0,0,0,0,0,0.666091642241138,0,0,0,0,0,0,0,0,0,0
1438801714756.04,0,0.998974360308459,0.332991453436153,0.665982906872306,0,0.665982906872306,0.665982906872306,0.998974360308459,0,0.665982906872306,0.332991453436153,0.998974360308459,0,0.332991453436153,0,0.332991453436153,0.332991453436153,0.332991453436153,0,0.665982906872306,0.332991453436153,0,0.332991453436153,0,0,0,0,0,0,0.665982906872306,0,0.332991453436153,0,0.665982906872306,0.332991453436153,0,0,0,0,0
1438801717758.96,0.333009213038091,0.999027639114274,0.333009213038091,0.666018426076182,0.666018426076182,0.999027639114274,0,0.333009213038091,0.333009213038091,0.999027639114274,0.333009213038091,0,0.333009213038091,1.66504606519046,0.333009213038091,0.666018426076182,0.666018426076182,0,0.333009213038091,0.333009213038091,0,0,0,0,0,0,0,0,0.333009213038091,0.666018426076182,0,0.666018426076182,0,0,0,0.666018426076182,0,0,0.333009213038091,0
