timestamp_ms,CPU_000,CPU_001,CPU_002,CPU_003,CPU_004,CPU_005,CPU_006,CPU_007,CPU_008,CPU_009,CPU_010,CPU_011,CPU_012,CPU_013,CPU_014,CPU_015,CPU_016,CPU_017,CPU_018,CPU_019,CPU_020,CPU_021,CPU_022,CPU_023,CPU_024,CPU_025,CPU_026,CPU_027,CPU_028,CPU_029,CPU_030,CPU_031,CPU_032,CPU_033,CPU_034,CPU_035,CPU_036,CPU_037,CPU_038,CPU_039
1438801678723.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333075747165908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801681725.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333075774250738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801684728.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801687731.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33301584630213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801690733.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801693736.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3330424632393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801696739.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332995920230892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801699742.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801702745.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333010323076111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801705747.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801708750.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333062421963905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801711752.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333045821120569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801714756.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438801717758.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333009213038091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
