timestamp_ms,IRQ_000_IR-IO-APIC-edge_timer,IRQ_008_IR-IO-APIC-edge_rtc0,IRQ_009_IR-IO-APIC-fasteoi_acpi,IRQ_010_IR-IO-APIC-edge_ipmi_si,IRQ_022_IR-IO-APIC-fasteoi_ehci_hcd:usb2,IRQ_023_IR-IO-APIC-fasteoi_ehci_hcd:usb1,IRQ_104_DMAR_MSI-edge_dmar0,IRQ_105_DMAR_MSI-edge_dmar1,IRQ_106_IR-PCI-MSI-edge_PCIe_PME,IRQ_107_IR-PCI-MSI-edge_PCIe_PME,IRQ_108_IR-PCI-MSI-edge_PCIe_PME,IRQ_109_IR-PCI-MSI-edge_PCIe_PME,IRQ_110_IR-PCI-MSI-edge_PCIe_PME,IRQ_111_IR-PCI-MSI-edge_PCIe_PME,IRQ_112_IR-PCI-MSI-edge_PCIe_PME,IRQ_113_IR-PCI-MSI-edge_PCIe_PME,IRQ_114_IR-PCI-MSI-edge_PCIe_PME,IRQ_115_IR-PCI-MSI-edge_PCIe_PME,IRQ_116_IR-PCI-MSI-edge_megasas,IRQ_117_IR-PCI-MSI-edge_megasas,IRQ_118_IR-PCI-MSI-edge_megasas,IRQ_119_IR-PCI-MSI-edge_megasas,IRQ_120_IR-PCI-MSI-edge_megasas,IRQ_121_IR-PCI-MSI-edge_megasas,IRQ_122_IR-PCI-MSI-edge_megasas,IRQ_123_IR-PCI-MSI-edge_megasas,IRQ_124_IR-PCI-MSI-edge_megasas,IRQ_125_IR-PCI-MSI-edge_megasas,IRQ_126_IR-PCI-MSI-edge_megasas,IRQ_127_IR-PCI-MSI-edge_megasas,IRQ_128_IR-PCI-MSI-edge_megasas,IRQ_129_IR-PCI-MSI-edge_megasas,IRQ_130_IR-PCI-MSI-edge_megasas,IRQ_131_IR-PCI-MSI-edge_megasas,IRQ_132_IR-PCI-MSI-edge_ahci,IRQ_133_IR-PCI-MSI-edge_em4-tx-0,IRQ_134_IR-PCI-MSI-edge_em4-rx-1,IRQ_135_IR-PCI-MSI-edge_em4-rx-2,IRQ_136_IR-PCI-MSI-edge_em4-rx-3,IRQ_137_IR-PCI-MSI-edge_em4-rx-4,IRQ_138_IR-PCI-MSI-edge_em3-tx-0,IRQ_139_IR-PCI-MSI-edge_em3-rx-1,IRQ_140_IR-PCI-MSI-edge_em3-rx-2,IRQ_141_IR-PCI-MSI-edge_em3-rx-3,IRQ_142_IR-PCI-MSI-edge_em3-rx-4,IRQ_143_IR-PCI-MSI-edge_em2-tx-0,IRQ_144_IR-PCI-MSI-edge_em2-rx-1,IRQ_145_IR-PCI-MSI-edge_em2-rx-2,IRQ_146_IR-PCI-MSI-edge_em2-rx-3,IRQ_147_IR-PCI-MSI-edge_em2-rx-4,IRQ_148_IR-PCI-MSI-edge_em1-tx-0,IRQ_149_IR-PCI-MSI-edge_em1-rx-1,IRQ_150_IR-PCI-MSI-edge_em1-rx-2,IRQ_151_IR-PCI-MSI-edge_em1-rx-3,IRQ_152_IR-PCI-MSI-edge_em1-rx-4,IRQ_CAL_Function_call_interrupts,IRQ_ERR,IRQ_IWI_IRQ_work_interrupts,IRQ_LOC_Local_timer_interrupts,IRQ_MCE_Machine_check_exceptions,IRQ_MCP_Machine_check_polls,IRQ_MIS,IRQ_NMI_Non-maskable_interrupts,IRQ_PMI_Performance_monitoring_interrupts,IRQ_RES_Rescheduling_interrupts,IRQ_RTR_APIC_ICR_read_retries,IRQ_SPU_Spurious_interrupts,IRQ_THR_Threshold_APIC_interrupts,IRQ_TLB_TLB_shootdowns,IRQ_TRM_Thermal_event_interrupts
1438801678723.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666151494331817,0,0,0.999227241497725,0,0,0,1.66537873582954,1.66537873582954,1.99845448299545,0,0,0,0.999227241497725,0
1438801681725.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33153041975517,0,0,0,0.666151548501476,0.666151548501476,2.6646061940059,0,0,0,0.666151548501476,0
1438801684728.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3189586540273,0,0,69.6088915133021,0,0,0,4.32973966350683,4.32973966350683,19.98341383157,0,0,0,1.33222758877133,0
1438801687731.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.950126486671,0,0,118.553641283558,0,0,0,6.99333277234472,6.99333277234472,382.968223247449,0,0,0,4.32920600192769,0
1438801690733.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.622752884357,0,0,165.184119163191,0,0,0,9.32490995276077,9.32490995276077,333.69856330951,0,0,0,1.99819498987731,0
1438801693736.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.33449301928,0,0,158.861254965146,0,0,0,8.99214650746109,8.99214650746109,509.888011219368,0,0,0,9.99127389717899,0
1438801696739.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.899757496697,0,0.332995920230892,176.820833642604,0,0,0,8.6578939260032,8.6578939260032,471.189227126713,0,0,0,4.66194288323249,0
1438801699742.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.806782483138,0,0,188.48382753709,0,0,0,10.6563294720616,10.6563294720616,430.915323026491,0,0,0,1.66505148000963,0
1438801702745.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.462187921725,0,0.666020646152223,270.071372014726,0,0,0,10.9893406615117,10.9893406615117,492.189257506493,0,0,0,1.66505161538056,0
1438801705747.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.904571140375,0,0.666062776254049,184.832420410499,0,0,0,9.32487886755669,9.32487886755669,464.245755049072,0,0,0,3.66334526939727,0
